[LOG] Speed: 3.75 m/s | Battery: 50%
[LOG] Speed: 1.82 m/s | Battery: 26%
[LOG] Speed: 4.38 m/s | Battery: 46%
[LOG] Speed: 0.48 m/s | Battery: 81%
[LOG] Speed: 2.03 m/s | Battery: 66%
[LOG] Speed: 3.2 m/s | Battery: 51%
[LOG] Speed: 3.17 m/s | Battery: 35%
[LOG] Speed: 1.4 m/s | Battery: 65%
[LOG] Speed: 0.58 m/s | Battery: 58%
[LOG] Speed: 0.88 m/s | Battery: 70%
[LOG] Speed: 4.1 m/s | Battery: 99%
[LOG] Speed: 0.64 m/s | Battery: 21%
[LOG] Speed: 3.54 m/s | Battery: 54%
[LOG] Speed: 1.7 m/s | Battery: 25%
[LOG] Speed: 3.91 m/s | Battery: 97%
[LOG] Speed: 4.58 m/s | Battery: 56%
[LOG] Speed: 0.09 m/s | Battery: 31%
[LOG] Speed: 4.48 m/s | Battery: 34%
[LOG] Speed: 2.3 m/s | Battery: 82%
[LOG] Speed: 3.98 m/s | Battery: 65%
[LOG] Speed: 4.55 m/s | Battery: 58%
[LOG] Speed: 1.77 m/s | Battery: 27%
[LOG] Speed: 3.61 m/s | Battery: 77%
[LOG] Speed: 4.62 m/s | Battery: 74%
[LOG] Speed: 4.29 m/s | Battery: 80%
[LOG] Speed: 2.07 m/s | Battery: 80%
[LOG] Speed: 4.95 m/s | Battery: 98%
[LOG] Speed: 0.78 m/s | Battery: 46%
[LOG] Speed: 0.03 m/s | Battery: 50%
[LOG] Speed: 1.26 m/s | Battery: 37%
[LOG] Speed: 2.02 m/s | Battery: 87%
[LOG] Speed: 1.64 m/s | Battery: 26%
[LOG] Speed: 4.76 m/s | Battery: 58%
[LOG] Speed: 1.1 m/s | Battery: 62%
[LOG] Speed: 2.37 m/s | Battery: 47%
[LOG] Speed: 0.26 m/s | Battery: 96%
[LOG] Speed: 4.48 m/s | Battery: 97%
[LOG] Speed: 4.42 m/s | Battery: 46%
[LOG] Speed: 1.01 m/s | Battery: 20%
[LOG] Speed: 0.44 m/s | Battery: 48%
[LOG] Speed: 0.5 m/s | Battery: 77%
[LOG] Speed: 3.22 m/s | Battery: 43%
[LOG] Speed: 3.27 m/s | Battery: 87%
[LOG] Speed: 4.37 m/s | Battery: 93%
[LOG] Speed: 3.71 m/s | Battery: 56%
[LOG] Speed: 3.99 m/s | Battery: 55%
[LOG] Speed: 4.34 m/s | Battery: 62%
[LOG] Speed: 0.06 m/s | Battery: 90%
[LOG] Speed: 0.95 m/s | Battery: 96%
[LOG] Speed: 1.48 m/s | Battery: 64%
[LOG] Speed: 3.34 m/s | Battery: 40%
[LOG] Speed: 3.98 m/s | Battery: 63%
[LOG] Speed: 1.86 m/s | Battery: 78%
[LOG] Speed: 3.78 m/s | Battery: 98%
[LOG] Speed: 2.58 m/s | Battery: 37%
[LOG] Speed: 3.34 m/s | Battery: 52%
[LOG] Speed: 0.98 m/s | Battery: 66%
[LOG] Speed: 4.75 m/s | Battery: 52%
[LOG] Speed: 1.34 m/s | Battery: 84%
[LOG] Speed: 0.91 m/s | Battery: 24%
[LOG] Speed: 4.99 m/s | Battery: 53%
[LOG] Speed: 1.35 m/s | Battery: 58%
[LOG] Speed: 4.06 m/s | Battery: 37%
[LOG] Speed: 2.91 m/s | Battery: 75%
[LOG] Speed: 3.19 m/s | Battery: 62%
[LOG] Speed: 3.01 m/s | Battery: 56%
[LOG] Speed: 2.07 m/s | Battery: 53%
[LOG] Speed: 2.8 m/s | Battery: 55%
[LOG] Speed: 4.24 m/s | Battery: 40%
[LOG] Speed: 0.56 m/s | Battery: 44%
[LOG] Speed: 4.89 m/s | Battery: 81%
[LOG] Speed: 0.96 m/s | Battery: 53%
[LOG] Speed: 0.74 m/s | Battery: 89%
[LOG] Speed: 4.36 m/s | Battery: 39%
[LOG] Speed: 4.92 m/s | Battery: 71%
[LOG] Speed: 4.62 m/s | Battery: 100%
[LOG] Speed: 2.19 m/s | Battery: 33%
[LOG] Speed: 0.08 m/s | Battery: 79%
[LOG] Speed: 0.19 m/s | Battery: 69%
[LOG] Speed: 1.75 m/s | Battery: 80%
[LOG] Speed: 0.02 m/s | Battery: 72%
[LOG] Speed: 3.85 m/s | Battery: 56%
[LOG] Speed: 2.33 m/s | Battery: 98%
[LOG] Speed: 2.25 m/s | Battery: 49%
[LOG] Speed: 0.11 m/s | Battery: 61%
[LOG] Speed: 3.1 m/s | Battery: 46%
[LOG] Speed: 2.9 m/s | Battery: 95%
[LOG] Speed: 4.34 m/s | Battery: 62%
[LOG] Speed: 0.77 m/s | Battery: 48%
[LOG] Speed: 4.36 m/s | Battery: 27%
[LOG] Speed: 0.92 m/s | Battery: 27%
[LOG] Speed: 2.92 m/s | Battery: 88%
[LOG] Speed: 3.44 m/s | Battery: 55%
[LOG] Speed: 1.21 m/s | Battery: 61%
[LOG] Speed: 0.67 m/s | Battery: 87%
[LOG] Speed: 4.29 m/s | Battery: 85%
[LOG] Speed: 3.11 m/s | Battery: 46%
[LOG] Speed: 4.66 m/s | Battery: 66%
[LOG] Speed: 1.35 m/s | Battery: 40%
[LOG] Speed: 3.55 m/s | Battery: 94%
[LOG] Speed: 3.05 m/s | Battery: 32%
[LOG] Speed: 4.45 m/s | Battery: 34%
[LOG] Speed: 2.76 m/s | Battery: 96%
[LOG] Speed: 0.14 m/s | Battery: 83%
[LOG] Speed: 3.89 m/s | Battery: 21%
[LOG] Speed: 2.18 m/s | Battery: 99%
[LOG] Speed: 1.17 m/s | Battery: 68%
[LOG] Speed: 0.97 m/s | Battery: 99%
[LOG] Speed: 0.21 m/s | Battery: 35%
[LOG] Speed: 2.66 m/s | Battery: 67%
[LOG] Speed: 2.04 m/s | Battery: 95%
[LOG] Speed: 2.92 m/s | Battery: 79%
[LOG] Speed: 1.91 m/s | Battery: 24%
[LOG] Speed: 3.62 m/s | Battery: 75%
[LOG] Speed: 3.0 m/s | Battery: 32%
[LOG] Speed: 4.24 m/s | Battery: 66%
[LOG] Speed: 3.83 m/s | Battery: 36%
[LOG] Speed: 4.43 m/s | Battery: 41%
[LOG] Speed: 4.87 m/s | Battery: 80%
[LOG] Speed: 2.12 m/s | Battery: 45%
[LOG] Speed: 4.31 m/s | Battery: 23%
[LOG] Speed: 3.45 m/s | Battery: 23%
[LOG] Speed: 0.02 m/s | Battery: 94%
[LOG] Speed: 0.68 m/s | Battery: 52%
[LOG] Speed: 2.78 m/s | Battery: 29%
[LOG] Speed: 2.22 m/s | Battery: 27%
[LOG] Speed: 3.16 m/s | Battery: 99%
[LOG] Speed: 4.03 m/s | Battery: 87%
[LOG] Speed: 1.37 m/s | Battery: 88%
[LOG] Speed: 3.88 m/s | Battery: 72%
[LOG] Speed: 0.57 m/s | Battery: 78%
[LOG] Speed: 2.87 m/s | Battery: 52%
[LOG] Speed: 3.1 m/s | Battery: 27%
[LOG] Speed: 4.36 m/s | Battery: 41%
[LOG] Speed: 4.29 m/s | Battery: 89%
[LOG] Speed: 2.66 m/s | Battery: 33%
[LOG] Speed: 1.08 m/s | Battery: 65%
[LOG] Speed: 4.03 m/s | Battery: 26%
[LOG] Speed: 3.25 m/s | Battery: 20%
[LOG] Speed: 3.51 m/s | Battery: 51%
[LOG] Speed: 1.59 m/s | Battery: 79%
[LOG] Speed: 0.19 m/s | Battery: 59%
[LOG] Speed: 2.01 m/s | Battery: 66%
[LOG] Speed: 4.58 m/s | Battery: 50%
[LOG] Speed: 1.4 m/s | Battery: 93%
[LOG] Speed: 4.14 m/s | Battery: 30%
[LOG] Speed: 4.79 m/s | Battery: 66%
[LOG] Speed: 2.37 m/s | Battery: 48%
[LOG] Speed: 4.64 m/s | Battery: 22%
[LOG] Speed: 0.76 m/s | Battery: 60%
[LOG] Speed: 2.94 m/s | Battery: 85%
[LOG] Speed: 1.31 m/s | Battery: 45%
[LOG] Speed: 2.71 m/s | Battery: 41%
[LOG] Speed: 1.41 m/s | Battery: 45%
[LOG] Speed: 0.32 m/s | Battery: 38%
[LOG] Speed: 3.84 m/s | Battery: 82%
[LOG] Speed: 2.71 m/s | Battery: 46%
[LOG] Speed: 2.93 m/s | Battery: 33%
[LOG] Speed: 0.55 m/s | Battery: 62%
[LOG] Speed: 4.25 m/s | Battery: 68%
[LOG] Speed: 4.92 m/s | Battery: 91%
[LOG] Speed: 2.97 m/s | Battery: 30%
[LOG] Speed: 2.79 m/s | Battery: 60%
[LOG] Speed: 2.18 m/s | Battery: 82%
[LOG] Speed: 2.14 m/s | Battery: 93%
[LOG] Speed: 1.39 m/s | Battery: 25%
[LOG] Speed: 4.85 m/s | Battery: 48%
[LOG] Speed: 4.52 m/s | Battery: 96%
[LOG] Speed: 1.24 m/s | Battery: 35%
[LOG] Speed: 3.26 m/s | Battery: 32%
[LOG] Speed: 4.64 m/s | Battery: 66%
[LOG] Speed: 4.72 m/s | Battery: 31%
[LOG] Speed: 0.63 m/s | Battery: 35%
[LOG] Speed: 1.77 m/s | Battery: 62%
[LOG] Speed: 0.28 m/s | Battery: 32%
[LOG] Speed: 3.61 m/s | Battery: 57%
[LOG] Speed: 0.64 m/s | Battery: 80%
[LOG] Speed: 1.67 m/s | Battery: 23%
[LOG] Speed: 2.82 m/s | Battery: 45%
[LOG] Speed: 2.74 m/s | Battery: 36%
[LOG] Speed: 1.75 m/s | Battery: 92%
[LOG] Speed: 2.74 m/s | Battery: 71%
[LOG] Speed: 1.84 m/s | Battery: 74%
[LOG] Speed: 3.25 m/s | Battery: 49%
[LOG] Speed: 2.88 m/s | Battery: 44%
[LOG] Speed: 2.53 m/s | Battery: 93%
[LOG] Speed: 2.42 m/s | Battery: 71%
[LOG] Speed: 2.47 m/s | Battery: 67%
[LOG] Speed: 0.7 m/s | Battery: 27%
[LOG] Speed: 3.17 m/s | Battery: 24%
[LOG] Speed: 2.23 m/s | Battery: 73%
[LOG] Speed: 3.6 m/s | Battery: 27%
[LOG] Speed: 4.09 m/s | Battery: 76%
[LOG] Speed: 1.68 m/s | Battery: 92%
[LOG] Speed: 4.02 m/s | Battery: 46%
[LOG] Speed: 4.58 m/s | Battery: 42%
[LOG] Speed: 2.79 m/s | Battery: 32%
[LOG] Speed: 0.71 m/s | Battery: 29%
[LOG] Speed: 0.01 m/s | Battery: 46%
[LOG] Speed: 3.05 m/s | Battery: 47%
[LOG] Speed: 3.72 m/s | Battery: 54%
[LOG] Speed: 3.36 m/s | Battery: 31%
[LOG] Speed: 1.73 m/s | Battery: 56%
[LOG] Speed: 4.97 m/s | Battery: 24%
[LOG] Speed: 4.49 m/s | Battery: 34%
[LOG] Speed: 1.51 m/s | Battery: 49%
[LOG] Speed: 2.57 m/s | Battery: 64%
[LOG] Speed: 3.84 m/s | Battery: 58%
[LOG] Speed: 2.74 m/s | Battery: 26%
[LOG] Speed: 1.41 m/s | Battery: 84%
[LOG] Speed: 0.49 m/s | Battery: 37%
[LOG] Speed: 3.56 m/s | Battery: 48%
[LOG] Speed: 3.08 m/s | Battery: 92%
[LOG] Speed: 0.17 m/s | Battery: 80%
[LOG] Speed: 3.75 m/s | Battery: 65%
[LOG] Speed: 4.34 m/s | Battery: 86%
[LOG] Speed: 0.95 m/s | Battery: 66%
[LOG] Speed: 1.17 m/s | Battery: 72%
[LOG] Speed: 0.22 m/s | Battery: 80%
[LOG] Speed: 4.56 m/s | Battery: 84%
[LOG] Speed: 1.59 m/s | Battery: 39%
[LOG] Speed: 3.79 m/s | Battery: 61%
[LOG] Speed: 0.91 m/s | Battery: 37%
[LOG] Speed: 2.63 m/s | Battery: 48%
[LOG] Speed: 2.71 m/s | Battery: 36%
[LOG] Speed: 3.85 m/s | Battery: 46%
[LOG] Speed: 4.66 m/s | Battery: 46%
[LOG] Speed: 2.85 m/s | Battery: 29%
[LOG] Speed: 3.19 m/s | Battery: 91%
[LOG] Speed: 1.23 m/s | Battery: 63%
[LOG] Speed: 1.41 m/s | Battery: 43%
[LOG] Speed: 4.36 m/s | Battery: 20%
[LOG] Speed: 3.33 m/s | Battery: 52%
[LOG] Speed: 3.68 m/s | Battery: 91%
[LOG] Speed: 3.59 m/s | Battery: 28%
[LOG] Speed: 0.61 m/s | Battery: 66%
[LOG] Speed: 2.15 m/s | Battery: 55%
[LOG] Speed: 3.27 m/s | Battery: 21%
[LOG] Speed: 0.62 m/s | Battery: 72%
[LOG] Speed: 1.99 m/s | Battery: 34%
[LOG] Speed: 1.39 m/s | Battery: 65%
[LOG] Speed: 2.24 m/s | Battery: 98%
[LOG] Speed: 1.02 m/s | Battery: 23%
[LOG] Speed: 2.84 m/s | Battery: 99%
[LOG] Speed: 4.24 m/s | Battery: 63%
[LOG] Speed: 2.48 m/s | Battery: 52%
[LOG] Speed: 0.81 m/s | Battery: 71%
[LOG] Speed: 3.46 m/s | Battery: 90%
[LOG] Speed: 0.39 m/s | Battery: 61%
[LOG] Speed: 1.21 m/s | Battery: 81%
[LOG] Speed: 2.54 m/s | Battery: 92%
[LOG] Speed: 2.3 m/s | Battery: 60%
[LOG] Speed: 4.44 m/s | Battery: 99%
[LOG] Speed: 2.71 m/s | Battery: 28%
[LOG] Speed: 2.84 m/s | Battery: 96%
[LOG] Speed: 0.24 m/s | Battery: 71%
[LOG] Speed: 4.06 m/s | Battery: 20%
[LOG] Speed: 1.85 m/s | Battery: 60%
[LOG] Speed: 2.4 m/s | Battery: 20%
[LOG] Speed: 3.58 m/s | Battery: 89%
[LOG] Speed: 2.58 m/s | Battery: 55%
[LOG] Speed: 2.98 m/s | Battery: 64%
[LOG] Speed: 2.74 m/s | Battery: 30%
[LOG] Speed: 4.05 m/s | Battery: 63%
[LOG] Speed: 2.88 m/s | Battery: 38%
[LOG] Speed: 0.6 m/s | Battery: 37%
[LOG] Speed: 0.62 m/s | Battery: 77%
[LOG] Speed: 1.64 m/s | Battery: 37%
[LOG] Speed: 1.38 m/s | Battery: 42%
[LOG] Speed: 0.58 m/s | Battery: 85%
[LOG] Speed: 3.28 m/s | Battery: 25%
[LOG] Speed: 1.72 m/s | Battery: 85%
[LOG] Speed: 0.52 m/s | Battery: 41%
[LOG] Speed: 0.56 m/s | Battery: 43%
[LOG] Speed: 0.69 m/s | Battery: 43%
[LOG] Speed: 1.86 m/s | Battery: 59%
[LOG] Speed: 3.61 m/s | Battery: 59%
[LOG] Speed: 4.95 m/s | Battery: 29%
[LOG] Speed: 4.56 m/s | Battery: 33%
[LOG] Speed: 1.38 m/s | Battery: 96%
[LOG] Speed: 0.21 m/s | Battery: 84%
[LOG] Speed: 3.94 m/s | Battery: 49%
[LOG] Speed: 1.38 m/s | Battery: 65%
[LOG] Speed: 2.36 m/s | Battery: 40%
[LOG] Speed: 4.18 m/s | Battery: 55%
[LOG] Speed: 1.75 m/s | Battery: 76%
[LOG] Speed: 2.25 m/s | Battery: 33%
[LOG] Speed: 1.69 m/s | Battery: 31%
[LOG] Speed: 0.27 m/s | Battery: 33%
[LOG] Speed: 1.96 m/s | Battery: 28%
[LOG] Speed: 3.08 m/s | Battery: 52%
[LOG] Speed: 1.85 m/s | Battery: 35%
[LOG] Speed: 0.94 m/s | Battery: 88%
[LOG] Speed: 4.51 m/s | Battery: 46%
[LOG] Speed: 2.4 m/s | Battery: 30%
[LOG] Speed: 4.85 m/s | Battery: 54%
[LOG] Speed: 4.08 m/s | Battery: 49%
[LOG] Speed: 2.22 m/s | Battery: 49%
[LOG] Speed: 0.5 m/s | Battery: 45%
[LOG] Speed: 1.78 m/s | Battery: 30%
[LOG] Speed: 0.89 m/s | Battery: 66%
[LOG] Speed: 2.73 m/s | Battery: 40%
[LOG] Speed: 1.68 m/s | Battery: 97%
[LOG] Speed: 0.53 m/s | Battery: 56%
[LOG] Speed: 2.16 m/s | Battery: 90%
[LOG] Speed: 0.9 m/s | Battery: 83%
[LOG] Speed: 2.57 m/s | Battery: 74%
[LOG] Speed: 3.18 m/s | Battery: 64%
[LOG] Speed: 0.83 m/s | Battery: 73%
[LOG] Speed: 2.71 m/s | Battery: 63%
[LOG] Speed: 2.85 m/s | Battery: 66%
[LOG] Speed: 2.9 m/s | Battery: 75%
[LOG] Speed: 4.63 m/s | Battery: 64%
[LOG] Speed: 1.15 m/s | Battery: 34%
[LOG] Speed: 1.99 m/s | Battery: 64%
[LOG] Speed: 1.32 m/s | Battery: 90%
[LOG] Speed: 3.33 m/s | Battery: 41%
[LOG] Speed: 0.26 m/s | Battery: 21%
[LOG] Speed: 4.03 m/s | Battery: 26%
[LOG] Speed: 1.18 m/s | Battery: 46%
[LOG] Speed: 2.49 m/s | Battery: 62%
[LOG] Speed: 0.36 m/s | Battery: 24%
[LOG] Speed: 0.79 m/s | Battery: 41%
[LOG] Speed: 4.67 m/s | Battery: 31%
[LOG] Speed: 4.34 m/s | Battery: 44%
[LOG] Speed: 4.91 m/s | Battery: 35%
[LOG] Speed: 2.44 m/s | Battery: 92%
[LOG] Speed: 2.14 m/s | Battery: 28%
[LOG] Speed: 2.35 m/s | Battery: 87%
[LOG] Speed: 3.49 m/s | Battery: 71%
[LOG] Speed: 3.46 m/s | Battery: 81%
[LOG] Speed: 4.61 m/s | Battery: 84%
[LOG] Speed: 3.94 m/s | Battery: 86%
[LOG] Speed: 1.07 m/s | Battery: 33%
[LOG] Speed: 3.68 m/s | Battery: 100%
[LOG] Speed: 1.02 m/s | Battery: 99%
[LOG] Speed: 3.99 m/s | Battery: 33%
[LOG] Speed: 0.88 m/s | Battery: 30%
[LOG] Speed: 4.08 m/s | Battery: 100%
[LOG] Speed: 4.04 m/s | Battery: 46%
[LOG] Speed: 3.72 m/s | Battery: 94%
[LOG] Speed: 3.71 m/s | Battery: 22%
[LOG] Speed: 0.61 m/s | Battery: 45%
[LOG] Speed: 4.04 m/s | Battery: 50%
[LOG] Speed: 2.43 m/s | Battery: 59%
[LOG] Speed: 0.59 m/s | Battery: 60%
[LOG] Speed: 3.49 m/s | Battery: 38%
[LOG] Speed: 1.13 m/s | Battery: 80%
[LOG] Speed: 4.93 m/s | Battery: 76%
[LOG] Speed: 4.53 m/s | Battery: 89%
[LOG] Speed: 1.72 m/s | Battery: 43%
[LOG] Speed: 1.56 m/s | Battery: 68%
[LOG] Speed: 0.46 m/s | Battery: 20%
[LOG] Speed: 0.97 m/s | Battery: 91%
[LOG] Speed: 4.35 m/s | Battery: 47%
[LOG] Speed: 1.07 m/s | Battery: 96%
[LOG] Speed: 4.62 m/s | Battery: 48%
[LOG] Speed: 0.56 m/s | Battery: 68%
[LOG] Speed: 1.22 m/s | Battery: 32%
[LOG] Speed: 4.0 m/s | Battery: 41%
[LOG] Speed: 0.24 m/s | Battery: 29%
[LOG] Speed: 2.08 m/s | Battery: 24%
[LOG] Speed: 1.29 m/s | Battery: 44%
[LOG] Speed: 0.57 m/s | Battery: 77%
[LOG] Speed: 3.3 m/s | Battery: 31%
[LOG] Speed: 4.63 m/s | Battery: 36%
[LOG] Speed: 1.72 m/s | Battery: 34%
[LOG] Speed: 3.68 m/s | Battery: 64%
[LOG] Speed: 4.16 m/s | Battery: 80%
[LOG] Speed: 4.23 m/s | Battery: 61%
[LOG] Speed: 4.66 m/s | Battery: 60%
[LOG] Speed: 1.23 m/s | Battery: 32%
[LOG] Speed: 2.76 m/s | Battery: 48%
[LOG] Speed: 1.06 m/s | Battery: 81%
[LOG] Speed: 3.52 m/s | Battery: 96%
[LOG] Speed: 1.45 m/s | Battery: 67%
[LOG] Speed: 0.17 m/s | Battery: 33%
[LOG] Speed: 3.6 m/s | Battery: 22%
[LOG] Speed: 0.77 m/s | Battery: 98%
[LOG] Speed: 4.71 m/s | Battery: 75%
[LOG] Speed: 1.64 m/s | Battery: 100%
[LOG] Speed: 4.68 m/s | Battery: 49%
[LOG] Speed: 0.96 m/s | Battery: 70%
[LOG] Speed: 1.85 m/s | Battery: 48%
[LOG] Speed: 4.75 m/s | Battery: 54%
[LOG] Speed: 0.9 m/s | Battery: 45%
[LOG] Speed: 0.56 m/s | Battery: 85%
[LOG] Speed: 3.98 m/s | Battery: 54%
[LOG] Speed: 2.32 m/s | Battery: 45%
[LOG] Speed: 2.41 m/s | Battery: 45%
[LOG] Speed: 4.47 m/s | Battery: 38%
[LOG] Speed: 3.64 m/s | Battery: 71%
[LOG] Speed: 2.63 m/s | Battery: 94%
[LOG] Speed: 0.91 m/s | Battery: 47%
[LOG] Speed: 1.08 m/s | Battery: 54%
[LOG] Speed: 0.95 m/s | Battery: 36%
[LOG] Speed: 3.94 m/s | Battery: 50%
[LOG] Speed: 1.05 m/s | Battery: 52%
[LOG] Speed: 2.7 m/s | Battery: 93%
[LOG] Speed: 2.42 m/s | Battery: 44%
[LOG] Speed: 3.93 m/s | Battery: 26%
[LOG] Speed: 0.5 m/s | Battery: 32%
[LOG] Speed: 2.14 m/s | Battery: 49%
[LOG] Speed: 2.65 m/s | Battery: 92%
[LOG] Speed: 1.89 m/s | Battery: 52%
[LOG] Speed: 4.39 m/s | Battery: 30%
[LOG] Speed: 2.82 m/s | Battery: 85%
[LOG] Speed: 3.49 m/s | Battery: 61%
[LOG] Speed: 1.36 m/s | Battery: 68%
[LOG] Speed: 3.77 m/s | Battery: 45%
[LOG] Speed: 1.4 m/s | Battery: 48%
[LOG] Speed: 0.89 m/s | Battery: 49%
[LOG] Speed: 4.58 m/s | Battery: 94%
[LOG] Speed: 1.07 m/s | Battery: 53%
[LOG] Speed: 3.55 m/s | Battery: 69%
[LOG] Speed: 3.38 m/s | Battery: 59%
[LOG] Speed: 0.49 m/s | Battery: 47%
[LOG] Speed: 2.17 m/s | Battery: 66%
[LOG] Speed: 3.55 m/s | Battery: 59%
[LOG] Speed: 1.38 m/s | Battery: 66%
[LOG] Speed: 1.77 m/s | Battery: 40%
[LOG] Speed: 1.65 m/s | Battery: 45%
[LOG] Speed: 3.86 m/s | Battery: 25%
[LOG] Speed: 0.18 m/s | Battery: 25%
[LOG] Speed: 0.9 m/s | Battery: 63%
[LOG] Speed: 2.93 m/s | Battery: 21%
[LOG] Speed: 2.84 m/s | Battery: 51%
[LOG] Speed: 2.26 m/s | Battery: 89%
[LOG] Speed: 3.57 m/s | Battery: 69%
[LOG] Speed: 2.2 m/s | Battery: 28%
[LOG] Speed: 2.46 m/s | Battery: 67%
[LOG] Speed: 1.67 m/s | Battery: 77%
[LOG] Speed: 2.04 m/s | Battery: 97%
[LOG] Speed: 4.92 m/s | Battery: 45%
[LOG] Speed: 1.12 m/s | Battery: 48%
[LOG] Speed: 0.33 m/s | Battery: 57%
[LOG] Speed: 4.02 m/s | Battery: 92%
[LOG] Speed: 1.8 m/s | Battery: 86%
[LOG] Speed: 1.01 m/s | Battery: 60%
[LOG] Speed: 3.26 m/s | Battery: 53%
[LOG] Speed: 1.28 m/s | Battery: 34%
[LOG] Speed: 4.45 m/s | Battery: 33%
[LOG] Speed: 4.95 m/s | Battery: 59%
[LOG] Speed: 0.15 m/s | Battery: 46%
[LOG] Speed: 3.27 m/s | Battery: 55%
[LOG] Speed: 0.39 m/s | Battery: 97%
[LOG] Speed: 0.17 m/s | Battery: 45%
[LOG] Speed: 3.98 m/s | Battery: 49%
[LOG] Speed: 0.46 m/s | Battery: 35%
[LOG] Speed: 0.35 m/s | Battery: 34%
[LOG] Speed: 0.25 m/s | Battery: 75%
[LOG] Speed: 3.5 m/s | Battery: 26%
[LOG] Speed: 4.29 m/s | Battery: 83%
[LOG] Speed: 4.05 m/s | Battery: 65%
[LOG] Speed: 1.28 m/s | Battery: 96%
[LOG] Speed: 0.09 m/s | Battery: 47%
[LOG] Speed: 0.87 m/s | Battery: 32%
[LOG] Speed: 3.0 m/s | Battery: 41%
[LOG] Speed: 0.8 m/s | Battery: 41%
[LOG] Speed: 0.37 m/s | Battery: 75%
[LOG] Speed: 2.88 m/s | Battery: 33%
[LOG] Speed: 1.11 m/s | Battery: 88%
[LOG] Speed: 2.47 m/s | Battery: 33%
[LOG] Speed: 1.78 m/s | Battery: 79%
[LOG] Speed: 0.8 m/s | Battery: 56%
[LOG] Speed: 4.96 m/s | Battery: 47%
[LOG] Speed: 4.28 m/s | Battery: 53%
[LOG] Speed: 4.78 m/s | Battery: 49%
[LOG] Speed: 1.18 m/s | Battery: 87%
[LOG] Speed: 3.82 m/s | Battery: 97%
[LOG] Speed: 2.7 m/s | Battery: 87%
[LOG] Speed: 3.69 m/s | Battery: 68%
[LOG] Speed: 3.49 m/s | Battery: 70%
[LOG] Speed: 3.0 m/s | Battery: 32%
[LOG] Speed: 2.62 m/s | Battery: 25%
[LOG] Speed: 0.37 m/s | Battery: 37%
[LOG] Speed: 0.51 m/s | Battery: 51%
[LOG] Speed: 1.79 m/s | Battery: 24%
[LOG] Speed: 3.32 m/s | Battery: 70%
[LOG] Speed: 1.13 m/s | Battery: 39%
[LOG] Speed: 3.33 m/s | Battery: 38%
[LOG] Speed: 1.24 m/s | Battery: 79%
[LOG] Speed: 3.73 m/s | Battery: 36%
[LOG] Speed: 4.14 m/s | Battery: 40%
[LOG] Speed: 3.68 m/s | Battery: 96%
[LOG] Speed: 4.33 m/s | Battery: 85%
[LOG] Speed: 2.43 m/s | Battery: 66%
[LOG] Speed: 0.74 m/s | Battery: 34%
[LOG] Speed: 1.45 m/s | Battery: 44%
[LOG] Speed: 3.94 m/s | Battery: 49%
[LOG] Speed: 0.1 m/s | Battery: 94%
[LOG] Speed: 3.05 m/s | Battery: 37%
[LOG] Speed: 4.69 m/s | Battery: 73%
[LOG] Speed: 1.8 m/s | Battery: 65%
[LOG] Speed: 0.71 m/s | Battery: 82%
[LOG] Speed: 4.11 m/s | Battery: 78%
[LOG] Speed: 2.42 m/s | Battery: 82%
[LOG] Speed: 3.06 m/s | Battery: 76%
[LOG] Speed: 4.26 m/s | Battery: 36%
[LOG] Speed: 3.79 m/s | Battery: 88%
[LOG] Speed: 2.63 m/s | Battery: 47%
[LOG] Speed: 1.87 m/s | Battery: 77%
[LOG] Speed: 4.16 m/s | Battery: 63%
[LOG] Speed: 1.86 m/s | Battery: 74%
[LOG] Speed: 0.44 m/s | Battery: 70%
[LOG] Speed: 3.02 m/s | Battery: 39%
[LOG] Speed: 1.51 m/s | Battery: 74%
[LOG] Speed: 0.97 m/s | Battery: 41%
[LOG] Speed: 3.84 m/s | Battery: 97%
[LOG] Speed: 4.81 m/s | Battery: 44%
[LOG] Speed: 2.44 m/s | Battery: 51%
[LOG] Speed: 3.51 m/s | Battery: 70%
[LOG] Speed: 0.15 m/s | Battery: 40%
[LOG] Speed: 4.76 m/s | Battery: 23%
[LOG] Speed: 2.06 m/s | Battery: 96%
[LOG] Speed: 3.38 m/s | Battery: 60%
[LOG] Speed: 0.32 m/s | Battery: 78%
[LOG] Speed: 2.07 m/s | Battery: 38%
[LOG] Speed: 1.67 m/s | Battery: 33%
[LOG] Speed: 4.87 m/s | Battery: 40%
[LOG] Speed: 1.22 m/s | Battery: 72%
[LOG] Speed: 4.39 m/s | Battery: 53%
[LOG] Speed: 2.25 m/s | Battery: 98%
[LOG] Speed: 1.39 m/s | Battery: 59%
[LOG] Speed: 2.18 m/s | Battery: 31%
[LOG] Speed: 2.5 m/s | Battery: 93%
[LOG] Speed: 3.28 m/s | Battery: 31%
[LOG] Speed: 0.18 m/s | Battery: 28%
[LOG] Speed: 0.25 m/s | Battery: 76%
[LOG] Speed: 1.95 m/s | Battery: 85%
[LOG] Speed: 2.91 m/s | Battery: 29%
[LOG] Speed: 3.62 m/s | Battery: 97%
[LOG] Speed: 1.6 m/s | Battery: 89%
[LOG] Speed: 4.26 m/s | Battery: 33%
[LOG] Speed: 4.95 m/s | Battery: 78%
[LOG] Speed: 2.86 m/s | Battery: 38%
[LOG] Speed: 4.54 m/s | Battery: 83%
[LOG] Speed: 2.71 m/s | Battery: 22%
